Do you go to the gym?,"How many days, on average, do you go to the gym in a week?",Financial incentives a,Messages that affirm your values a,Notifications to plan workouts a,Notifications to reflect on your number of gym visits per week a,Advice to increase your number of gym visits a,"If an artificial intelligence (AI) system were to make recommendations for increasing my gym attendance, I would listen to the AI’s advice.",I would like to change how often I engage in physical activity.,"How many days per week, on average, do you engage in physical activity?",Financial incentives b,Messages that affirm your values b,Notifications to plan workouts b,Notifications to reflect on your levels of physical activity per week b,Advice to increase your level of physical activity b,"If an artificial intelligence (AI) system were to make recommendations for increasing my levels of physical activity, I would listen to the AI’s advice.",I would like to change my current levels of physical activity,How old are you?,What is your gender?
Yes,2,Extremely increase,Somewhat increase,Somewhat increase,Somewhat increase,Somewhat increase,,,,,,,,,,Strongly agree,28,Female
No,,,,,,,,Agree,2,Slightly increase,Moderately increase,Moderately increase,Extremely increase,Somewhat increase,,Agree,29,Male
No,,,,,,,,Strongly agree,1,Moderately increase,Extremely increase,Somewhat increase,Extremely increase,Moderately increase,,Strongly agree,22,Female
Yes,1,Slightly increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,,,,,,,,,,Neither agree nor disagree,18,Male
No,,,,,,,,Strongly agree,0,Extremely increase,Moderately increase,Somewhat increase,Extremely increase,Somewhat increase,,Strongly agree,49,Female
No,,,,,,,,Agree,3,Moderately increase,Slightly increase,Somewhat increase,Somewhat increase,Somewhat increase,,Agree,32,Female
Yes,0,Extremely increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,,,,,,,,,,Agree,22,Male
Yes,2,Somewhat increase,Not at all increase,Not at all increase,Slightly increase,Somewhat increase,,,,,,,,,,Agree,31,Male
No,,,,,,,,Disagree,3,Not at all increase,Not at all increase,Not at all increase,Slightly increase,Not at all increase,,Disagree,50,Female
No,,,,,,,,Agree,5,Extremely increase,Somewhat increase,Slightly increase,Somewhat increase,Moderately increase,,Agree,28,Male
No,,,,,,,,Agree,5,Extremely increase,Somewhat increase,Slightly increase,Moderately increase,Somewhat increase,,Strongly agree,23,Female
No,,,,,,,,Agree,7,Moderately increase,Slightly increase,Slightly increase,Slightly increase,Somewhat increase,,Agree,62,Female
Yes,3,Extremely increase,Somewhat increase,Somewhat increase,Not at all increase,Somewhat increase,,,,,,,,,,Strongly agree,27,Female
No,,,,,,,,Agree,3,Not at all increase,Somewhat increase,Slightly increase,Not at all increase,Slightly increase,,Agree,29,Female
Yes,5,Somewhat increase,Not at all increase,Not at all increase,Slightly increase,Not at all increase,,,,,,,,,,Neither agree nor disagree,41,Male
Yes,2,Moderately increase,Moderately increase,Moderately increase,Slightly increase,Moderately increase,,,,,,,,,,Agree,35,Male
No,,,,,,,,Strongly agree,6,Not at all increase,Not at all increase,Slightly increase,Not at all increase,Somewhat increase,,Strongly agree,50,Female
Yes,3,Somewhat increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,,,,,,,,,,Neither agree nor disagree,34,Male
